-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG          |Name         |Ion         |Line      |Lam_lab |Wght|Abund       |Abund_Em    |Abund_Ep    
-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG011.9+04.2|M 1-32       |N^0         |[N I]     |5200.26 |1   |5.31289e-06 |-1.96036e-07|1.81363e-07 
PNG011.9+04.2|M 1-32       |N^+         |[N II]    |6548.10 |1   |1.69552e-04 |-7.05328e-06|8.04503e-06 
PNG011.9+04.2|M 1-32       |N^+         |[N II]    |6583.50 |3   |1.84771e-04 |-6.27518e-06|7.64498e-06 
PNG011.9+04.2|M 1-32       |O^0         |[O I]     |6300.34 |3   |3.28445e-05 |-9.31089e-07|1.04440e-06 
PNG011.9+04.2|M 1-32       |O^0         |[O I]     |6363.78 |1   |3.28594e-05 |-1.03332e-06|1.31418e-06 
PNG011.9+04.2|M 1-32       |O^+         |[O II]    |3726.03 |2   |1.59835e-04 |-3.63073e-06|2.98849e-06 
PNG011.9+04.2|M 1-32       |O^+         |[O II]    |3728.82 |1   |1.51066e-04 |-3.86790e-06|2.99142e-06 
PNG011.9+04.2|M 1-32       |O^2+        |[O III]   |4958.91 |1   |2.19926e-04 |-3.24426e-06|3.55368e-06 
PNG011.9+04.2|M 1-32       |O^2+        |[O III]   |5006.84 |3   |2.18444e-04 |-2.81840e-06|3.19016e-06 
PNG011.9+04.2|M 1-32       |Ne^2+       |[Ne III]  |3868.75 |1   |1.79907e-05 |-4.45620e-07|3.15706e-07 
PNG011.9+04.2|M 1-32       |S^+         |[S II]    |6716.44 |1   |2.05838e-06 |-9.23571e-08|1.09048e-07 
PNG011.9+04.2|M 1-32       |S^+         |[S II]    |6730.82 |2   |2.05902e-06 |-8.51344e-08|1.01212e-07 
PNG011.9+04.2|M 1-32       |S^2+        |[S III]   |6312.10 |1   |1.00621e-05 |-3.76324e-07|4.23095e-07 
PNG011.9+04.2|M 1-32       |Cl^2+       |[Cl III]  |5517.66 |1   |1.15058e-07 |-6.52255e-09|6.85006e-09 
PNG011.9+04.2|M 1-32       |Cl^2+       |[Cl III]  |5537.60 |2   |1.05752e-07 |-5.08395e-09|5.34579e-09 
