-------------|-------------|------------|-------|--------|------------|------------|------------
PNG          |Name         |Ion         |Type   |icf_Ref |Abund       |Abund_Em    |Abund_Ep    
-------------|-------------|------------|-------|--------|------------|------------|------------
PNG003.1+02.9|Hb 4 (shell) |N/H         |CEL    |KB94    |5.42070e-04 |-8.76427e-06|8.88934e-06 
PNG003.1+02.9|Hb 4 (shell) |icf(N)      |CEL    |DMS14   |2.02993e+01 |-8.06450e+00|1.12272e+01 
PNG003.1+02.9|Hb 4 (shell) |N/H         |CEL    |DMS14   |5.39943e-04 |-2.35256e-04|3.33877e-04 
PNG003.1+02.9|Hb 4 (shell) |O^0/H       |CEL    |        |1.18410e-05 |-1.01331e-07|1.15040e-07 
PNG003.1+02.9|Hb 4 (shell) |O^+/H       |CEL    |        |3.10260e-05 |-1.93380e-07|2.08121e-07 
PNG003.1+02.9|Hb 4 (shell) |O^2+/H      |CEL    |        |5.60238e-04 |-2.01975e-06|1.87313e-06 
PNG003.1+02.9|Hb 4 (shell) |icf(O)      |CEL    |KB94    |1.06939e+00 |-5.17236e-03|5.24485e-03 
PNG003.1+02.9|Hb 4 (shell) |O/H         |CEL    |KB94    |6.32289e-04 |-4.30995e-06|4.64509e-06 
PNG003.1+02.9|Hb 4 (shell) |icf(O)      |CEL    |DMS14   |1.05816e+00 |-8.04542e-02|8.04542e-02 
PNG003.1+02.9|Hb 4 (shell) |O/H         |CEL    |DMS14   |6.25654e-04 |-5.42945e-05|4.99385e-05 
PNG003.1+02.9|Hb 4 (shell) |Ne^2+/H     |CEL    |        |8.25832e-05 |-5.66444e-07|4.65882e-07 
PNG003.1+02.9|Hb 4 (shell) |icf(Ne)     |CEL    |KB94    |1.12861e+00 |-9.39465e-03|1.02218e-02 
PNG003.1+02.9|Hb 4 (shell) |Ne/H        |CEL    |KB94    |9.32041e-05 |-1.31639e-06|1.31984e-06 
PNG003.1+02.9|Hb 4 (shell) |icf(Ne)     |CEL    |DMS14   |1.21368e+00 |-3.21405e-01|2.42185e-01 
PNG003.1+02.9|Hb 4 (shell) |Ne/H        |CEL    |DMS14   |1.00229e-04 |-2.92399e-05|2.09583e-05 
PNG003.1+02.9|Hb 4 (shell) |S^+/H       |CEL    |        |7.10455e-07 |-6.57132e-09|6.19720e-09 
PNG003.1+02.9|Hb 4 (shell) |S^2+/H      |CEL    |        |9.20068e-06 |-6.26483e-08|7.38834e-08 
PNG003.1+02.9|Hb 4 (shell) |icf(S)      |CEL    |KB94    |1.92539e+00 |-6.68650e-03|6.32078e-03 
PNG003.1+02.9|Hb 4 (shell) |S/H         |CEL    |KB94    |1.90828e-05 |-1.72879e-07|2.30991e-07 
PNG003.1+02.9|Hb 4 (shell) |icf(S)      |CEL    |DMS14   |1.94325e+00 |-5.71453e-01|3.87326e-01 
PNG003.1+02.9|Hb 4 (shell) |S/H         |CEL    |DMS14   |1.92599e-05 |-6.28917e-06|4.69736e-06 
PNG003.1+02.9|Hb 4 (shell) |Cl^2+/H     |CEL    |        |9.65914e-08 |-2.94772e-09|3.06819e-09 
PNG003.1+02.9|Hb 4 (shell) |icf(Cl)     |CEL    |L00     |2.07406e+00 |-2.79663e-02|3.18991e-02 
PNG003.1+02.9|Hb 4 (shell) |Cl/H        |CEL    |L00     |2.00336e-07 |-8.28294e-09|8.58822e-09 
PNG003.1+02.9|Hb 4 (shell) |icf(Cl)     |CEL    |DMS14   |2.89433e+01 |-1.05374e+01|6.63724e+00 
PNG003.1+02.9|Hb 4 (shell) |Cl/H        |CEL    |DMS14   |2.79567e-06 |-1.17993e-06|7.39488e-07 
PNG003.1+02.9|Hb 4 (shell) |Ar^2+/H     |CEL    |        |2.46361e-06 |-2.55560e-08|2.50626e-08 
PNG003.1+02.9|Hb 4 (shell) |Ar^3+/H     |CEL    |        |7.21991e-07 |-1.37978e-08|1.50301e-08 
PNG003.1+02.9|Hb 4 (shell) |Ar^4+/H     |CEL    |        |1.12059e-08 |-1.26795e-09|1.14174e-09 
PNG003.1+02.9|Hb 4 (shell) |icf(Ar)     |CEL    |KB94    |1.05160e+00 |-1.14085e-03|1.12213e-03 
PNG003.1+02.9|Hb 4 (shell) |Ar/H        |CEL    |KB94    |3.36177e-06 |-4.22550e-08|4.41384e-08 
PNG003.1+02.9|Hb 4 (shell) |icf(Ar)     |CEL    |DMS14   |1.66015e+00 |-1.32344e+00|1.15163e+00 
PNG003.1+02.9|Hb 4 (shell) |Ar/H        |CEL    |DMS14   |4.08998e-06 |-3.93406e-06|3.55011e-06 
PNG003.1+02.9|Hb 4 (shell) |Fe^2+/H     |CEL    |        |2.12307e-07 |-4.61496e-08|4.69059e-08 
PNG003.1+02.9|Hb 4 (shell) |icf(Fe)     |CEL    |ITL94   |2.54742e+01 |-2.71833e-01|2.65743e-01 
PNG003.1+02.9|Hb 4 (shell) |Fe/H        |CEL    |ITL94   |5.40834e-06 |-1.21458e-06|1.51723e-06 
PNG003.1+02.9|Hb 4 (shell) |adf(N^2+)   |ORL/CEL|        |3.16549e+00 |-4.87969e-01|4.79917e-01 
PNG003.1+02.9|Hb 4 (shell) |adf(N)      |ORL/CEL|KB94    |3.16549e+00 |-6.09514e-01|6.04442e-01 
PNG003.1+02.9|Hb 4 (shell) |adf(N)      |ORL/CEL|DMS14   |3.17797e+00 |-3.17797e+00|1.47533e+02 
PNG003.1+02.9|Hb 4 (shell) |adf(O^2+)   |ORL/CEL|        |9.79486e+00 |-1.26486e+00|1.48764e+00 
PNG003.1+02.9|Hb 4 (shell) |adf(O)      |ORL/CEL|KB94    |9.79486e+00 |-1.56497e+00|1.91197e+00 
PNG003.1+02.9|Hb 4 (shell) |adf(O)      |ORL/CEL|DMS14   |9.89874e+00 |-1.71716e+00|2.24844e+00 
PNG003.1+02.9|Hb 4 (N-knot)|He^+/H      |ORL    |        |8.27392e-02 |-2.84981e-03|3.90595e-03 
PNG003.1+02.9|Hb 4 (N-knot)|He/H        |ORL    |        |8.27392e-02 |-2.84981e-03|3.90595e-03 
PNG003.1+02.9|Hb 4 (N-knot)|N^+/H       |CEL    |        |5.00710e-05 |-2.10077e-06|2.50483e-06 
PNG003.1+02.9|Hb 4 (N-knot)|icf(N)      |CEL    |KB94    |3.21022e+00 |-3.22695e-01|3.72230e-01 
PNG003.1+02.9|Hb 4 (N-knot)|N/H         |CEL    |KB94    |1.60739e-04 |-2.33876e-05|2.61028e-05 
PNG003.1+02.9|Hb 4 (N-knot)|icf(N)      |CEL    |DMS14   |8.85466e+00 |-2.69143e+00|3.80773e+00 
PNG003.1+02.9|Hb 4 (N-knot)|N/H         |CEL    |DMS14   |4.43362e-04 |-2.01247e-04|2.39896e-04 
PNG003.1+02.9|Hb 4 (N-knot)|O^0/H       |CEL    |        |1.28445e-05 |-1.19786e-06|1.56604e-06 
PNG003.1+02.9|Hb 4 (N-knot)|O^+/H       |CEL    |        |1.66123e-04 |-5.90823e-06|6.22593e-06 
PNG003.1+02.9|Hb 4 (N-knot)|O^2+/H      |CEL    |        |3.67168e-04 |-5.74089e-06|6.38689e-06 
PNG003.1+02.9|Hb 4 (N-knot)|icf(O)      |CEL    |KB94    |1.00000e+00 |-4.68680e-02|5.39712e-02 
PNG003.1+02.9|Hb 4 (N-knot)|O/H         |CEL    |KB94    |5.33291e-04 |-3.53344e-05|4.27279e-05 
PNG003.1+02.9|Hb 4 (N-knot)|icf(O)      |CEL    |DMS14   |1.00000e+00 |-3.00000e-02|3.00000e-02 
PNG003.1+02.9|Hb 4 (N-knot)|O/H         |CEL    |DMS14   |5.33291e-04 |-2.63697e-05|2.66651e-05 
PNG003.1+02.9|Hb 4 (N-knot)|Ne^2+/H     |CEL    |        |1.58090e-04 |-4.65075e-06|4.12871e-06 
PNG003.1+02.9|Hb 4 (N-knot)|icf(Ne)     |CEL    |KB94    |1.45244e+00 |-1.42909e-01|1.51453e-01 
PNG003.1+02.9|Hb 4 (N-knot)|Ne/H        |CEL    |KB94    |2.29617e-04 |-3.14060e-05|3.21235e-05 
PNG003.1+02.9|Hb 4 (N-knot)|icf(Ne)     |CEL    |DMS14   |2.82730e+00 |-6.89379e-01|5.41946e-01 
PNG003.1+02.9|Hb 4 (N-knot)|Ne/H        |CEL    |DMS14   |4.46969e-04 |-1.39337e-04|1.15956e-04 
PNG003.1+02.9|Hb 4 (N-knot)|S^+/H       |CEL    |        |1.13839e-06 |-5.49687e-08|7.07597e-08 
PNG003.1+02.9|Hb 4 (N-knot)|icf(S)      |CEL    |KB94    |8.66217e+00 |-2.69513e-01|3.60581e-01 
PNG003.1+02.9|Hb 4 (N-knot)|S/H         |CEL    |KB94    |9.86095e-06 |-6.47490e-07|1.04840e-06 
PNG003.1+02.9|Hb 4 (N-knot)|icf(S)      |CEL    |DMS14   |1.03171e+00 |-2.92633e-01|2.12304e-01 
PNG003.1+02.9|Hb 4 (N-knot)|S/H         |CEL    |DMS14   |1.17449e-06 |-4.20323e-07|3.74996e-07 
PNG003.1+02.9|Hb 4 (N-knot)|Ar^2+/H     |CEL    |        |1.75353e-06 |-7.45227e-08|9.05268e-08 
PNG003.1+02.9|Hb 4 (N-knot)|icf(Ar)     |CEL    |KB94    |1.45244e+00 |-1.09269e-01|2.04223e-01 
PNG003.1+02.9|Hb 4 (N-knot)|Ar/H        |CEL    |KB94    |2.54690e-06 |-3.15835e-07|5.21195e-07 
PNG003.1+02.9|Hb 4 (N-knot)|icf(Ar)     |CEL    |DMS14   |1.13965e+00 |-8.69175e-01|7.55978e-01 
PNG003.1+02.9|Hb 4 (N-knot)|Ar/H        |CEL    |DMS14   |1.99840e-06 |-1.99840e-06|1.73678e-06 
PNG003.1+02.9|Hb 4 (S-knot)|He^+/H      |ORL    |        |7.04348e-02 |-2.59202e-03|3.67296e-03 
PNG003.1+02.9|Hb 4 (S-knot)|He/H        |ORL    |        |7.04348e-02 |-2.59202e-03|3.67296e-03 
PNG003.1+02.9|Hb 4 (S-knot)|N^+/H       |CEL    |        |4.81215e-05 |-2.06143e-06|2.91135e-06 
PNG003.1+02.9|Hb 4 (S-knot)|icf(N)      |CEL    |KB94    |2.48087e+00 |-2.53136e-01|2.80124e-01 
PNG003.1+02.9|Hb 4 (S-knot)|N/H         |CEL    |KB94    |1.19383e-04 |-1.41971e-05|1.75799e-05 
PNG003.1+02.9|Hb 4 (S-knot)|icf(N)      |CEL    |DMS14   |5.97902e+00 |-1.64332e+00|2.38515e+00 
PNG003.1+02.9|Hb 4 (S-knot)|N/H         |CEL    |DMS14   |2.87720e-04 |-9.74041e-05|1.12554e-04 
PNG003.1+02.9|Hb 4 (S-knot)|O^0/H       |CEL    |        |2.53991e-05 |-2.47383e-06|2.92362e-06 
